NODE,DOMINANT INTEREST,INTERESRT,PROFESSION,SOURCE MENTIONED IN,NOTES,START DATE,END DATE,LOCATION,DIRECT WORK ON PROBLEM,"TYPE (O P, HC, PI)",APPROXIMATION OF PI,EXTANT SOURCE,PROOF TYPE
"MCT 044, YBC 07302 P255051",Cuneiform Tablet,"Geometry, Arithmetic",,"MCT 044, YBC 07302 P255051",pi=3,1900 BC,1600 BC,,N & PI,O,Y,Y,
MCT 057 (P255065) ,Cuneiform Tablet,"Geometry, Arithmetic",,MCT 057 (P255065) ,Pi = 3.125,1900 BC,1600 BC,Uruk,N & PI,O,Y,Y,
TMS p.025 P254835,Cuneiform Tablet,"Geometry, Arithmetic",,TMS p.025 P254835,pi = 3,1900 BC,1600 BC,Susa,N & PI,O,Y,Y,
Kahun Papyrus IV. 3 Cols. 15-14,Papyri,"Geometry, Arithmetic",,Kahun Papyrus,pi=256/81 = 3.16049383,1896 BC,1802 BC,El Lahun,N & PI,O,Y,Y,
Moscow Papyrus Problem 10,Papyri,"Geometry, Arithmetic",,Moscow Papyrys,pi=256/81 = 3.16049383,1850 BC,1850 BC,Faiyum,N & PI,O,Y,Y,
"Rhind Papyrus Problem 41, 42, 43",Papyri,"Geometry, Arithmetic",Scribe (Ahmes),Rhind Papyrys Problem 43,pi=256/81 = 3.16049384,1844 BC,1797 BC,Faiyum,N & PI,O,Y,Y,
1 Kings 7:23,Bible,Theology,Phrophet / Scribe (Jeremiah),Bible,pi=3 ?,0700 BC,0600 BC,Jerusalem,N & PI,O,Y,Y,
2 Chronicles 4:2,Bible,Theology,Temple Scribe,Bible,pi=3 ?,0500 BC,0400 BC,Jerusalem,N & PI,O,Y,Y,
Anaxagoras of Klazomenai,Philosophy,"Philosophy; Geometry; Cosmology, Astronomy",,On Exile,Wrote on the Squaring of the Circle,0480 BC,0428 BC,Klazomenai; Athens; Lampsakos,Y,O,N,N,
Antiphon of Athens,Mathematics,Philosophy; Geometry,,"Physics, Commentary on Aristotle's Physics (T), Commentary on Aristotle's Physics (S), Commentary on Aristotle's Physics (P)",Inscribed polygons into the circle,0450 BC,0400 BC,Athens,Y,P,N,N,Direct Proof
Aristophanes,Play,Playwright,,Birds,Used the problem as part of a comic play,0446 BC,0386 BC,Athens,N,O,N,Y,
Hippokrates of Khios,Mathematics,History; Geometry,,"Commentary on Aristotle's Physics (T), Sophistic Refutations",Squared lunes about the circle defined by the side of the largest square which can fit into the circle,0440 BC,0400 BC,Khios; Athens,Y,P,N,N,Direct Proof
